LanguageProficiencyCode|LanguageProficiencyCodeDescription|LanguageSkillCode|LanguageSkillCodeDescription|id
4|Advanced|BH|Bihari|cv12714.xml
3|Intermediate|EU|Basque|cv12714.xml
3|Intermediate|EN|English|cv12714.xml
||||cv24026.xml
||||cv32557.xml
||EN|English|cv11045.xml
||FR|French|cv11045.xml
3|Intermediate|EN|English|cv2166.xml
||ES|Spanish|cv2166.xml
2|Basic Knowledge|ES|Spanish|cv3875.xml
2|Basic Knowledge|EN|English|cv3875.xml
||||cv20771.xml
4|Advanced|ES|Spanish|cv17433.xml
4|Advanced|EN|English|cv17433.xml
3|Intermediate|EN|English|cv19518.xml
||||cv17629.xml
||||cv27351.xml
6|Native|PT|Portuguese|cv29110.xml
2|Basic Knowledge|EN|English|cv29110.xml
||||cv21365.xml
||||cv15882.xml
||||cv8700.xml
||||cv33111.xml
6|Native|PT|Portuguese|cv28985.xml
3|Intermediate|EN|English|cv28985.xml
2|Basic Knowledge|EN|English|cv36748.xml
||ES|Spanish|cv36748.xml
5|Near Native|ES|Spanish|cv37475.xml
3|Intermediate|EN|English|cv37475.xml
||||cv25784.xml
3|Intermediate|EN|English|cv6926.xml
||||cv14867.xml
4|Advanced|EN|English|cv17432.xml
||||cv38407.xml
3|Intermediate|EN|English|cv17829.xml
||||cv7742.xml
||||cv7335.xml
||||cv241.xml
||||cv25735.xml
||||cv32920.xml
||||cv32711.xml
||||cv36495.xml
3|Intermediate|EN|English|cv5117.xml
4|Advanced|EN|English|cv14004.xml
2|Basic Knowledge|ES|Spanish|cv14004.xml
3|Intermediate|EN|English|cv29373.xml
6|Native|PT|Portuguese|cv29373.xml
4|Advanced|ES|Spanish|cv29373.xml
3|Intermediate|EN|English|cv5241.xml
3|Intermediate|ES|Spanish|cv5241.xml
||||cv13783.xml
||||cv37319.xml
||EN|English|cv19099.xml
||ES|Spanish|cv34505.xml
||EN|English|cv34505.xml
||||cv37481.xml
||||cv19719.xml
||||cv8113.xml
||||cv25596.xml
||||cv6512.xml
2|Basic Knowledge|DE|German|cv5595.xml
3|Intermediate|EN|English|cv5595.xml
4|Advanced|EN|English|cv34830.xml
3|Intermediate|ES|Spanish|cv34830.xml
||||cv11303.xml
||||cv26031.xml
||||cv25481.xml
||||cv35047.xml
||||cv13065.xml
5|Near Native|EN|English|cv30766.xml
3|Intermediate|EN|English|cv9851.xml
2|Basic Knowledge|ES|Spanish|cv9851.xml
||||cv21731.xml
||||cv11621.xml
3|Intermediate|EN|English|cv9620.xml
||||cv26173.xml
||||cv25721.xml
2|Basic Knowledge|ES|Spanish|cv29048.xml
3|Intermediate|PT|Portuguese|cv29048.xml
||||cv26967.xml
||EN|English|cv17621.xml
3|Intermediate|EN|English|cv33184.xml
6|Native|PT|Portuguese|cv29762.xml
3|Intermediate|EN|English|cv29762.xml
6|Native|PT|Portuguese|cv29799.xml
||||cv17513.xml
||||cv35687.xml
3|Intermediate|ES|Spanish|cv14530.xml
3|Intermediate|EN|English|cv14530.xml
||||cv30780.xml
||||cv15380.xml
2|Basic Knowledge|EN|English|cv13697.xml
4|Advanced|EN|English|cv33327.xml
||ES|Spanish|cv33327.xml
6|Native|PT|Portuguese|cv29601.xml
||EN|English|cv15671.xml
||PT|Portuguese|cv15671.xml
||||cv14242.xml
||||cv14765.xml
||||cv34475.xml
||||cv28904.xml
4|Advanced|EN|English|cv9915.xml
||EN|English|cv14758.xml
2|Basic Knowledge|ES|Spanish|cv4768.xml
4|Advanced|EN|English|cv4768.xml
||||cv17816.xml
4|Advanced|EN|English|cv11545.xml
||EN|English|cv5742.xml
2|Basic Knowledge|ES|Spanish|cv11280.xml
3|Intermediate|EN|English|cv8733.xml
||||cv39339.xml
||EN|English|cv23210.xml
||||cv23131.xml
||||cv26102.xml
5|Near Native|EN|English|cv5034.xml
2|Basic Knowledge|ES|Spanish|cv5034.xml
||||cv19224.xml
||||cv7691.xml
||EN|English|cv25691.xml
4|Advanced|EN|English|cv18363.xml
4|Advanced|EN|English|cv38084.xml
3|Intermediate|EN|English|cv34053.xml
4|Advanced|EN|English|cv33163.xml
4|Advanced|EN|English|cv8552.xml
||||cv1893.xml
||||cv27036.xml
6|Native|PT|Portuguese|cv29416.xml
3|Intermediate|EN|English|cv29416.xml
2|Basic Knowledge|EN|English|cv11172.xml
||||cv19748.xml
3|Intermediate|EN|English|cv37456.xml
2|Basic Knowledge|ES|Spanish|cv37456.xml
4|Advanced|EN|English|cv21960.xml
3|Intermediate|EN|English|cv10338.xml
||||cv12363.xml
4|Advanced|EN|English|cv29070.xml
6|Native|PT|Portuguese|cv29070.xml
2|Basic Knowledge|ES|Spanish|cv29070.xml
6|Native|PT|Portuguese|cv29144.xml
2|Basic Knowledge|EN|English|cv22020.xml
2|Basic Knowledge|ES|Spanish|cv22020.xml
||||cv5715.xml
4|Advanced|EN|English|cv9173.xml
||||cv283.xml
4|Advanced|EN|English|cv20863.xml
||||cv23406.xml
||||cv25820.xml
4|Advanced|EN|English|cv25362.xml
||FR|French|cv25362.xml
||||cv735.xml
3|Intermediate|EN|English|cv8865.xml
3|Intermediate|EN|English|cv17465.xml
||||cv10724.xml
||||cv12543.xml
3|Intermediate|ES|Spanish|cv806.xml
3|Intermediate|EN|English|cv806.xml
||||cv28874.xml
||||cv36192.xml
3|Intermediate|EN|English|cv3733.xml
3|Intermediate|ES|Spanish|cv3733.xml
3|Intermediate|EN|English|cv29885.xml
3|Intermediate|FR|French|cv29885.xml
6|Native|PT|Portuguese|cv29885.xml
2|Basic Knowledge|ES|Spanish|cv29885.xml
2|Basic Knowledge|EN|English|cv18614.xml
||||cv8337.xml
||||cv19783.xml
3|Intermediate|EN|English|cv39392.xml
||||cv15571.xml
||||cv21414.xml
6|Native|PT|Portuguese|cv28921.xml
2|Basic Knowledge|EN|English|cv14370.xml
3|Intermediate|EN|English|cv2356.xml
||||cv22304.xml
4|Advanced|EN|English|cv20709.xml
||||cv25048.xml
||||cv15651.xml
4|Advanced|EN|English|cv4962.xml
4|Advanced|ES|Spanish|cv4962.xml
4|Advanced|FR|French|cv4962.xml
||||cv24020.xml
6|Native|PT|Portuguese|cv29807.xml
2|Basic Knowledge|ES|Spanish|cv29807.xml
2|Basic Knowledge|EN|English|cv29807.xml
||ES|Spanish|cv18289.xml
5|Near Native|ES|Spanish|cv9423.xml
3|Intermediate|EN|English|cv9423.xml
2|Basic Knowledge|IT|Italian|cv9423.xml
4|Advanced|PT|Portuguese|cv29561.xml
3|Intermediate|EN|English|cv29561.xml
||||cv21406.xml
||EN|English|cv8941.xml
||||cv3512.xml
||||cv16204.xml
||||cv27630.xml
||||cv34396.xml
||EN|English|cv37718.xml
4|Advanced|ES|Spanish|cv37718.xml
||||cv19957.xml
||||cv1690.xml
||||cv13886.xml
||||cv19786.xml
||||cv38508.xml
3|Intermediate|ES|Spanish|cv17412.xml
3|Intermediate|EN|English|cv17412.xml
||||cv3840.xml
||||cv36523.xml
||||cv38832.xml
3|Intermediate|EN|English|cv17524.xml
3|Intermediate|JA|japanese|cv27417.xml
2|Basic Knowledge|EN|English|cv27417.xml
3|Intermediate|EN|English|cv10178.xml
3|Intermediate|IT|Italian|cv10178.xml
||EN|English|cv33992.xml
||PT|Portuguese|cv33992.xml
||||cv15686.xml
||FR|French|cv25695.xml
||EN|English|cv25695.xml
||ES|Spanish|cv25695.xml
||||cv2661.xml
5|Near Native|ES|Spanish|cv12913.xml
3|Intermediate|EN|English|cv12913.xml
||||cv4884.xml
3|Intermediate|EN|English|cv2996.xml
||||cv23137.xml
4|Advanced|EN|English|cv34422.xml
2|Basic Knowledge|ES|Spanish|cv34422.xml
||||cv13709.xml
||||cv38394.xml
||||cv1530.xml
2|Basic Knowledge|ES|Spanish|cv1172.xml
5|Near Native|EN|English|cv19179.xml
||||cv21475.xml
4|Advanced|EN|English|cv14836.xml
2|Basic Knowledge|ES|Spanish|cv14836.xml
3|Intermediate|EN|English|cv33993.xml
3|Intermediate|ES|Spanish|cv33993.xml
||||cv16182.xml
||EN|English|cv14014.xml
||ES|Spanish|cv14014.xml
||||cv13831.xml
||||cv3498.xml
||||cv4482.xml
||||cv25367.xml
||||cv26328.xml
||||cv5540.xml
||||cv18098.xml
||||cv11264.xml
||||cv25440.xml
||||cv2475.xml
||EN|English|cv33568.xml
4|Advanced|EN|English|cv34325.xml
3|Intermediate|ES|Spanish|cv34325.xml
||||cv18608.xml
||||cv15647.xml
||||cv23340.xml
3|Intermediate|EN|English|cv16213.xml
3|Intermediate|EN|English|cv13706.xml
||||cv16139.xml
||||cv24190.xml
3|Intermediate|EN|English|cv5078.xml
3|Intermediate|EN|English|cv13767.xml
||||cv7128.xml
||||cv37582.xml
3|Intermediate|EN|English|cv19466.xml
||ES|Spanish|cv19466.xml
3|Intermediate|EN|English|cv22085.xml
4|Advanced|EN|English|cv14531.xml
3|Intermediate|ES|Spanish|cv14531.xml
||||cv13003.xml
||||cv11793.xml
||||cv11152.xml
||||cv33520.xml
5|Near Native|EN|English|cv3804.xml
||||cv22624.xml
3|Intermediate|EN|English|cv30057.xml
2|Basic Knowledge|ES|Spanish|cv30057.xml
||||cv8697.xml
||EN|English|cv21037.xml
||||cv15137.xml
||||cv36229.xml
||||cv34099.xml
