AvailabilityCode|AvailabilityCodeDescription|CVComment|CVTitle|CandidatePermission|CandidateStatusCode|CandidateStatusCodeDescription|CurrentEmployer|CurrentJob|ExternalID|ExtraInfo|HighestEducationLevelCode|HighestEducationLevelCodeDescription|Last3Experiences|ProfilePicture|SalaryCode|SalaryCodeDescription|TotalExperienceYears|id
|||||||Empresa FNDE - Fundo Nacional de Desenvolvimento da Educação|Sistema de Prestação de Contas do FNDE|||4|Bachelor|Gerente de Operações, Gerente de Projetos, Gerente de Projetos||||14|cv12714.xml
|||||||Secretaria da Educação|Professor de Informática|||4|Bachelor|Técnico de Teste de Software, Instrutor||||4|cv24026.xml
|||||||Experience|Consultor|||||Consultor, Consultor, Gerente de Projetos||||16|cv32557.xml
|||||||BANCORBRÁS PARTICIPAÇÕES E EMPRENDIMENTOS S.A|Estagiário|||||Diretor de Marketing, Menor Aprendiz||||4|cv11045.xml
|||||||POLITEC Ltda|Analista de Sistemas|||4|Bachelor|Analista de Sistemas Sênior, Analista de Sistemas||||9|cv2166.xml
|||||||RSI Informática entrou|Líder de Projetos|||5|Master|Analista de Sistemas Sênior, Gerente de Configuração e Mudanças, Analista de Sistemas I||||8|cv3875.xml
|||||||ALPHA BSB IMÓVEIS LTDA|CHEFE DE TESOURARIA|||4|Bachelor|Enc. Administrativo e Financeiro/Faturamento, Tesoureiro, Encarregado de||||10|cv20771.xml
|||||||Indra Company do Brasil|Gerente de Projetos|||4|Bachelor|Gerente de Projetos, Diretor Técnico, Analista de Sistemas||||10|cv17433.xml
||||0|||UOLDIVEO Datacenter S/A|Gerente de Projetos|||5|Master|Analista de Projetos, Estagiário||||16|cv19518.xml
||||0|||CTIS-Tecnologia S.A|TELEOPERADORA_PROJETO CAESB|||4|Bachelor|ÁREA ADMINISTRATIVA EM ENSINO MÉDIO, TELEOPERADORA_PROJETO CAESB||||3|cv17629.xml
||||0||||||||||||||cv27351.xml
||||0|||ICESP em DF|Auxiliar audio visual|||4|Bachelor|Auxiliar Administrativo, Auxiliar, Analista||||9|cv29110.xml
||||0|||IBM|IT Specialist|||||IT Specialist, IT Specialist, IT Specialist||||18|cv21365.xml
||||0|||FGV - Fundação Getulio Vargas MBA, Administration|Gerente Comercial|||||Gerente Comercial, Professora Disciplina Estratégias de Relacionamento, Gerente de Processos e Negócios||||6|cv15882.xml
|||||||Fundação Centro de Análise, Pesquisa e Inovação Tecnologica - FUCAPI|Analista de Sistemas/Desenvolvedor|||5|Master|Programador Jr., Programador Jr.||||4|cv8700.xml
|||||||Escritórios de Advocacia Levindo Araújo Ferraz|Auxiliar Administrativo|||||Auxiliar Administrativo||||6|cv33111.xml
||||0|||Grupo Sermec em DF|Assistente de Departamento Pessoal|||4|Bachelor|Assistente de Departamento Pessoal, Auxiliar de Departamento Pessoal||||8|cv28985.xml
||||0|||Mastering Informática Ltda|Técnico em Informática|||5|Master|Técnico em Informática, computador, Estagiário||||10|cv36748.xml
||||0||||Coordenadora de RH|||||Coordenadora de RH, Gerente de RH||||17|cv37475.xml
||||0|||||||5|Master||||||cv25784.xml
|||||||HEXGIS informática|Analista de sistemas nível 1|||4|Bachelor|Desenhista Cadista, Técnico em Cartografia II, Sargento Temporário||||8|cv6926.xml
|||||||Nihon Telemática|Técnico em Informática|||||Técnico em Informática||||3|cv14867.xml
|||||||DataInfo|Analista de Métricas|||4|Bachelor|Gestão de projetos, analista de negocios / requisitos||||7|cv17432.xml
||||0|||Experience|Técnico Especialista|||||Pós-graduação em Desenvolvimento Web, Técnico Especialista, Analista Desenvolvedor||||15|cv38407.xml
|||||||SPREAD TECNOLOGIA|Gerente de projeto e Operações TI.|||5|Master|Coordenador Líder, Gerente de projeto, Gerente de projeto campanha||||16|cv17829.xml
|||||||Iron Mountain Brasil - DF|Digitalizador|||1|Secondary Education|Digitalizador||||2|cv7742.xml
|||||||SHOPPING VENÂNCIO|DE OFFICE BOY, SUPORTE TÉCNICO|||1|Secondary Education|ESTAGIÁRIO ENSINO MÉDIO, ESTAGIÁRIO ENSINO MÉDIO (SUPORTE TÉCNICO)||||1|cv7335.xml
|||||||Indra Brasil|Desenvolvedor Java|||4|Bachelor|Desenvolvedor Java, Suporte Técnico||||6|cv241.xml
||||0||||||||||||||cv25735.xml
|||||||Drogaria Rosário|Menor Aprendiz|||4|Bachelor|||||3|cv32920.xml
|||||||Secretaria de Estado de Fazenda do Distrito Federal|Estagiário|||5|Master|Atendente de Farmácia||||2|cv32711.xml
||||0||||||||||||||cv36495.xml
||||0|||www.ceviu.com.br|Analista de sistemas|||4|Bachelor|||||4|cv5117.xml
|||||||Rosenberger Domex Telecomunicações|Gerente de Projeto|||5|Master|Controlador de Projeto, Estagiário, Estagiário||||4|cv14004.xml
||||0|||HEPTA em DF|Analista de Suporte de TI|||4|Bachelor|Analista de Suporte de TI||||5|cv29373.xml
|||||||ABN Apenas Boa Nutrição|Técnico em Informática|||4|Bachelor|Técnico em Informática, Analista de Atendimento ao Cliente, Técnico em Informática||||5|cv5241.xml
|||||||AGENCIA NACIONAL DE TELECOMUNICACOES Administrado pelo CIEE||||4|Bachelor|||||1|cv13783.xml
||||0|||Intervalor|Assistente de Crédito JR.|||4|Bachelor|Agente Atendimento||||3|cv37319.xml
||||0|||Gráfica Click Digital|Secretario e Designer Gráfico|||4|Bachelor||||||cv19099.xml
|||||||DIRECIONAL ENGENHARIA|ANALISTA DE|||5|Master|AUXILIAR DE SUPORTE INFORMATICA, SECRET. ADMINISTRATIVO e SUPORTE TECNICO, ANALISTA DE||||13|cv34505.xml
||||0||||||||||||||cv37481.xml
|||||||Brasília|Técnico de Suporte Remoto Nível II|||4|Bachelor|Técnico em Informática, Auxiliar em Informática, Teleoperador de Help Desk||||10|cv19719.xml
|||||||Secretaria de Estado de Trabalho do Distrito Federal|Técnico em Informática|||4|Bachelor|Técnico em Informática, Técnico em Informática||||1|cv8113.xml
||||0|||Experience|Gerente de Equipe / Educador Corporativo at BBTS|||||Arquiteto de Software||||13|cv25596.xml
|||||||Brasilia, DF|Vendedora|||4|Bachelor|Consultor de vendas interno, Analista de sistema, Supervisor Comercial||||18|cv6512.xml
|||||||CTIS - Ministério da Saúde - DATASUS|Analista de Performance|||4|Bachelor|Analista de Performance, Diretoria de Infraestrutura de TI Estagiário, Estagiário||||5|cv5595.xml
|||||||Stefanini|Coordenadora de Operações|||5|Master|Coordenadora de Suporte (ITO), Analista de TI., Analista de Suporte de Sistemas Pleno||||5|cv34830.xml
|||||||Lojas Americanas S.A|Supervisor de Loja|||4|Bachelor|Vendedor Interno, Gerente, Supervisor de Loja||||9|cv11303.xml
|||||||DTSys Tecnologia|Analista de sistemas de negócios|||4|Bachelor|Desenvolvedor de software||||2|cv26031.xml
||||0|||Ministério da educação at Organización de Estados Iberoamericanos -OEI|Programador|||||Programador, Programador||||6|cv25481.xml
|||||||Laboratória de Segurança Computacional - UFPA|Bolsista Pesquisador|||||Estágio no Laboratório de Informática, Bolsista Pesquisador, Voluntário||||4|cv35047.xml
|||||||Seidor do Brasil|Gerente de Projetos SAP|||4|Bachelor|Administradora, Gerente de Projetos, Gerente de Projetos||||21|cv13065.xml
||||0|||Grupo SIS|Analista Programador|||4|Bachelor|Programador Pleno||||10|cv30766.xml
|||||||CEVIU ­ Empregos de Informática(TI|saiu em|||4|Bachelor|saiu em||||5|cv9851.xml
||||0||||||||||||||cv21731.xml
|||||||Radical Moto Peças e Autos Ltda|Vendedor|||1|Secondary Education|Juiz de Fora Projetista, Projetista, Projetista|||||cv11621.xml
|||||||Confederação dos Engenheiros e Agrônomos|Auxiliar de Departamento Pessoal|||4|Bachelor|Supervisor de Vendas Internas / Externas, Gerente Administrativo, Vendedor de loja ( Shopping )||||7|cv9620.xml
||||0|||Universidade Católica de Brasília Master of Business Administration (M.B.A.), Gestao de Projetos|Analista/Desenvolvedor|||||Desenvolvedor java, Analista de Sistemas, Desenvolvedor Java||||4|cv26173.xml
|||||||Basis Tecnologia da Informação S.A|Analista de requisitos|||4|Bachelor|Estagiário em TI, Secretaria de Transparência e Controle, Estagiário em TI, manutenção do laboratório de informática||||6|cv25721.xml
||||0|||Segurança ­ Segurança|Auxiliar|||||Agente de Segurança||||8|cv29048.xml
|||||||Hospital Santa Lúcia-Grupo Santa Ouvidora|Assistente de Ouvidoria|||4|Bachelor|Supervisor Administrativo/Financeiro, Supervisor Administrativo, Vendedora interna||||8|cv26967.xml
||||0|||Algar Tecnologia|Gerencia|||4|Bachelor|Gerencia, Gestor de TI, Vendedor||||9|cv17621.xml
||||0|||IntelServ -Inteligência em Serviços Ltda|Analista de Treinamento e Desenvolvimento|||4|Bachelor|Consultora de RH, Analista de RH, Analista de Recrutamento e Seleção||||9|cv33184.xml
||||0|||UBEC ­ União Brasiliense de Educação e Cultura em DF|Assistente Administrativo|||4|Bachelor|Assistente Administrativo, Instrutor de Informática, Instrutor de Informática||||9|cv29762.xml
||||0|||Globalweb outsourcing em DF|Operador Técnico JR|||4|Bachelor|Operador Técnico JR, estagiário, Atendente||||5|cv29799.xml
|||||||Procuradoria Geral da União|Estagiária em desenvolvimento|||1|Secondary Education|Suporte técnico, Suporte tecnico||||3|cv17513.xml
||||0||||Gerente de Soluções Técnicas|||||Gerente de Soluções Técnicas, Gerente de Conta, Especialista de Operações de Vendas||||20|cv35687.xml
|||||||KPMG - Auditores Independentes|Auditor|||||Analista de segurança da informação||||2|cv14530.xml
|||||||Learn|Designer / Developer / Proprietário|||||Designer / Developer / Proprietário, Interface Designer, Web Designer||||6|cv30780.xml
|||||||HOME CENTER CIMFEL|Analista de suporte|||4|Bachelor|Analista de Suporte, Coordenador da área informática||||13|cv15380.xml
|||||||AGOFER INDÚSTRIA E COM. DE METAIS|Gerente Administrativo|||4|Bachelor|Gerente, Estoquista||||12|cv13697.xml
||||0|||Banco Santander - São Paulo/SP|Analista de Suporte|||4|Bachelor|Operador de Computador - Alocado, Operador de Suporte, Operador de Computador||||33|cv33327.xml
||||0|||HELIODIFF em DF|Caixa|||4|Bachelor|Promotor de Merchandising Temporário, Promotor, Atendente Técnico||||6|cv29601.xml
|||||||RSI Informática (Pessoas, Tecnologias e Experiências)|Estagiário - Contrato|||4|Bachelor|Dados, Técnico em Telecomunicações, Auxiliar Técnico em Telecomunicações||||5|cv15671.xml
|||||||OUTBACK - (ADMINISTRATIVO)- ATENDIMENTO AO TELEFONE E AO PÚBLICO, XÉROX, FAX, PROTOCOLO DE NOTAS FISCAIS, PROTOCOLO DE BOLETOS BANCÁRIOS, FECHAMENTO E ENTREGA DO MALOTE|AUXILIAR NA ADMINISTRAÇAÕ|||4|Bachelor||||||cv14242.xml
|||||||CONNECTCOM|Assistente de suporte|||||Analista de sistemas júnior, Analista de suporte de rede Jr, Tele operadora||||15|cv14765.xml
|||||||CTIS (Terceirizada da Caixa Econômica Federal)|Operador de Telemarketing|||4|Bachelor|Auxiliar de informática, Auxiliar Técnico de Instalação, Técnico em Informática|||||cv34475.xml
|||||||||||1|Secondary Education||||||cv28904.xml
|||||||MINISTÉRIO DO PLANEJAMENTO ORÇAMENTO E GESTÃO|DE TI|||||||||3|cv9915.xml
||||0|||MDA SOM E LUZ|Analista de TI Função|||4|Bachelor|Analista em Telecomunicações||||6|cv14758.xml
|||||||Tarea Manegement|Enterprise Project Portfolio Management Consultant (EPPM)|||||Técnico de Campo - Suporte Técnico, Documentador Operador de Micro Informática Junior, Auxiliar Administrativo||||5|cv4768.xml
|||||||Coopersystem|Programadora de Java|||4|Bachelor|Estagiária de Programação, Programadora de Java||||4|cv17816.xml
|||||||SENAC|auxiliar administrativo|||1|Secondary Education|auxiliar administrativo||||2|cv11545.xml
|||||||JORNAL HOJE EM DIA|Coordenadora Administrativa|||4|Bachelor|Recepcionista, Coordenadora Administrativa||||0|cv5742.xml
|||||||Fundação de Ensino e Pesquisa em Ciências da Saúde (Fepecs)|Estagiário da Assessoria de Comunicação da Fepecs|||4|Bachelor|Banca||||11|cv11280.xml
|||||||CEVIU ­ Empregos de Informática(TI)|Programador|||4|Bachelor|Projetos de Drogarias, Analista de sistemas, Programador||||7|cv8733.xml
||||0|||Universidade Católica de Brasília - UCB|Monitor da disciplina Saúde Coletiva I do Núcleo de Formação Básica|||4|Bachelor|Técnico em Enfermagem, Professor da Disciplina de, Professor de Ensino Médio||||6|cv39339.xml
|||||||TCU - Tribunal de Contas da União|Estagiário|||4|Bachelor|Representante de sistema ERP, Responsável pela Tecnologia da Informação, Estagiário||||11|cv23210.xml
||||0|||Bachelor of Technology (B.Tech.)|Consultor Tecnico Pleno|||||Consultor Tecnico Pleno||||4|cv23131.xml
||||0|||Sá Camisas Personalizadas|Desenvolvedor|||4|Bachelor|Desenvolvedor, Programador Web (Desenvolvedor), Programador Web (Desenvolvedor)|||||cv26102.xml
|||||||SERV. ADMINISTRATIVOS LTDA|Coordenador de Sistemas e Banco de Dados|||||Coordenador de Sistemas e Banco de Dados, Coordenador de Desenvolvimento||||2|cv5034.xml
||||0|||GNPTI(Contrato|Analista de Sistema Júnior|||4|Bachelor|Estágio, Analista de Sistema Júnior||||4|cv19224.xml
|||||||PROCENGE - Engenharia de Sistema||||5|Master|||||13|cv7691.xml
||||||||Analista de Testes|||2|Vocational Education|Analista de Teste e Qualidade de Software II, Analista de Teste - Pleno III, Analista de Sistemas Trainee/Analista de Teste||||13|cv25691.xml
||||0|||TSE|Engenheiro de Pesquisa e Desenvolvimento|||1|Secondary Education|Analista P&, Analista de Teste de Software||||4|cv18363.xml
||||0|||Panificadora e Confeitaria Dona Izulina lmtd|Estágio|||4|Bachelor|Estágio, Monitoria voluntária||||2|cv38084.xml
|||||||Stefanini IT Solutions (POLÍCIA FEDERAL)|Desenvolvedor Sênior|||5|Master|Líder Técnico/Desenvolvedor Sênior, Desenvolvedor Sênior, Desenvolvedor Sênior||||16|cv34053.xml
|||||||MEXICHEM BRASIL / AMANCO|Recursos Humanos - projeto Temporário|||5|Master|Coordenadora de Recursos Humanos / Business Partner, Coordenadora de Recursos Humanos (Temporário), Coordenadora de Recursos Humanos||||21|cv33163.xml
|||||||Cobra Tecnologia SA Profissional|Técnico Especialista|||4|Bachelor|||||2|cv8552.xml
|||||||Federal|Analista de Infraestrutura|||||Instrutor de informática, Técnico de suporte, Analista de suporte||||7|cv1893.xml
