culture_country,culture_cultureinfo,culture_language,id
br,pt-br,pt,cv42755.xml
br,pt-br,pt,cv42167.xml
br,pt-br,pt,cv39549.xml
br,pt-br,pt,cv42652.xml
br,pt-br,pt,cv42306.xml
br,pt-br,pt,cv39597.xml
br,pt-br,pt,cv44315.xml
br,pt-br,pt,cv43878.xml
br,en-au,pt,cv44034.xml
br,pt-br,pt,cv40052.xml
br,pt-br,pt,cv43380.xml
br,en-au,pt,cv44594.xml
br,en-au,pt,cv44396.xml
br,pt-br,pt,cv6499.xml
br,pt-br,pt,cv45305.xml
br,pt-br,pt,cv41133.xml
br,pt-br,pt,cv43514.xml
br,pt-br,pt,cv39540.xml
br,en-au,pt,cv45478.xml
br,pt-br,pt,cv41570.xml
br,en-au,pt,cv42137.xml
br,pt-br,pt,cv43149.xml
br,en-au,pt,cv45620.xml
br,pt-br,pt,cv45210.xml
br,pt-br,pt,cv45252.xml
br,pt-br,pt,cv44687.xml
br,nb-no,pt,cv44925.xml
br,pt-br,pt,cv45514.xml
br,pt-br,pt,cv44952.xml
br,pt-br,pt,cv43530.xml
br,en-au,pt,cv45420.xml
br,pt-br,pt,cv39517.xml
br,pt-br,pt,cv44959.xml
br,en-au,pt,cv44459.xml
br,en-au,pt,cv44055.xml
br,pt-br,pt,cv45785.xml
br,pt-br,pt,cv43148.xml
br,pt-br,pt,cv45239.xml
br,en-au,pt,cv42896.xml
br,pt-br,pt,cv43093.xml
br,pt-br,pt,cv44250.xml
br,pt-br,pt,cv43525.xml
br,en-au,pt,cv39921.xml
br,pt-br,pt,cv2567.xml
br,en-au,pt,cv42639.xml
br,pt-br,pt,cv45550.xml
br,pt-br,pt,cv42934.xml
br,en-au,pt,cv45392.xml
br,pt-br,pt,cv45477.xml
br,pt-br,pt,cv42843.xml
br,en-in,pt,cv42521.xml
br,pt-br,pt,cv39600.xml
br,en-au,pt,cv42962.xml
br,pt-br,pt,cv39508.xml
br,en-au,pt,cv42370.xml
br,pt-br,pt,cv44667.xml
br,pt-br,pt,cv43959.xml
br,en-au,pt,cv40197.xml
br,pt-br,pt,cv43498.xml
br,en-au,pt,cv40707.xml
br,pt-br,pt,cv45156.xml
br,en-au,pt,cv42606.xml
br,pt-br,pt,cv44204.xml
br,pt-br,pt,cv39621.xml
br,en-au,pt,cv43572.xml
br,pt-br,en,cv40485.xml
br,pt-br,pt,cv44243.xml
br,pt-br,pt,cv45529.xml
br,pt-br,pt,cv43500.xml
br,en-au,pt,cv41592.xml
br,pt-br,pt,cv39530.xml
br,en-au,pt,cv42308.xml
br,pt-br,pt,cv39533.xml
br,pt-br,pt,cv42699.xml
