id,licenseorcertification_description,licenseorcertification_effectivedate_firstissueddate_anydate,licenseorcertification_effectivedate_firstissueddate_year,licenseorcertification_effectivedate_firstissueddate_yearmonth,licenseorcertification_effectivedate_validfrom_year,licenseorcertification_effectivedate_validfrom_yearmonth,licenseorcertification_effectivedate_validto_stringdate,licenseorcertification_effectivedate_validto_year,licenseorcertification_effectivedate_validto_yearmonth,licenseorcertification_id,licenseorcertification_name
cv43586.xml,certification; found in certifications,,2018,,,,,,,,certificacao - sfc scrum fundamentals - scrumstudy
cv43586.xml,certification; found in certifications,,2018,,,,,,,,ingles - english live      (cursando)
cv43586.xml,certification; found in certifications,,2017,,,,,,,,agil&scrum -      (tiexames)
cv43586.xml,certification; found in certifications,,2016,,,,,,,,palestras online sobre bi pentaho -      (open source - pentahobrasil.blogspot.com.br)
cv43586.xml,certification; found in certifications,,2012,,,,,,,,itil / cobit -      (tiexames)
cv43586.xml,certification; found in certifications,,2010,,,,,,,,datasul e microsiga -      cursos internos na televisao cidade (grupo bandeirantes)
cv43586.xml,certification; found in certifications,,,,,,,,,7,sap - 1998 curso interno fairway (grupo rhodia)
cv45695.xml,certification; found in certifications,,,,,,,,,1,certified scrum product owner (cspo)
cv45695.xml,certified scrum product owner (cspo),,,,,,,,,1,(cspo)
cv45695.xml,certified scrum product owner (cspo),,,,,,,,,1,certified scrum product owner
cv45695.xml,certification; found in certifications,,,,,,,,,4,borland caliberrm certified
cv45695.xml,certification; found in certifications,,,2017-06,,,,,,,management 3.0
cv45695.xml,certification; found in certifications,,,2016-09,,,,,,,kanban - lean kanban
cv45695.xml,certification; found in certifications,,,2014-05,,,,,,,bizagi / business modeling
cv45695.xml,certification; found in certifications,,,2013-06,,,,,,,ibm rational method composer
cv45695.xml,certification; found in certifications,,,,,,,,,9,proeficiencias
cv45695.xml,certification; found in certifications,,,,,,,,,10,gerenciamento de projetos
cv45695.xml,certification; found in certifications,,,,,,,,,11,modelagem de dados
cv45695.xml,certification; found in certifications,,,,,,,,,12,modelagem de negocios
cv45695.xml,certification; found in certifications,,,,,,,,,13,erwin
cv45695.xml,certification; found in certifications,,,,,,,,,14,power designer
cv45695.xml,certification; found in certifications,,,,,,,,,15,bizagi
cv45695.xml,certification; found in certifications,,,,,,,,,16,rsa
cv45695.xml,certification; found in certifications,,,,,,,,,17,db2
cv45695.xml,certification; found in certifications,,,,,,,,,18,ibm/rational - clear case  requisitepro e rose
cv45695.xml,certification; found in certifications,,,,,,,,,19,ms project
cv45695.xml,certification; found in certifications,,,,,,,,,20,pacote office
cv45695.xml,certification; found in certifications,,,,,,,,,21,aplicacao do conhecimento pmbok em projetos de medio e grande porte
cv45695.xml,certification; found in certifications,,,,,,,,,22,rup
cv45695.xml,certification; found in certifications,,,,,,,,,23,uml
cv45695.xml,certification; found in certifications,,,,,,,,,24,kanban
cv45695.xml,certification; found in certifications,,,,,,,,,25,scrum
cv45695.xml,certification; found in certifications,,,,,,,,,26,agile
cv45695.xml,certification; found in certifications,,,,,,,,,27,contagem de pontos de funcao
cv45868.xml,certification; matched to list,,,,,,,,,1,itil v3
cv45868.xml,certification; matched to list,,,,,,,,,2,pmp
cv45868.xml,certification; matched to list,,,,,,,,,3,project management professional
cv45820.xml,certification,,,,,,,,,1,certificate of proficiency
cv45820.xml,certification,,,,,,,,,2,consultant certificate
cv43959.xml,certification; found in certifications; matched to list,,,,,,,,,1,pmp
cv43959.xml,certification; found in certifications,,,,,,,,,2,como eu sou
cv43959.xml,certification; found in certifications,,,,,,,,,3,trabalho em equipe  autodidata  pro-ativo  organizado  comprometido  etico e transparente. possuo boa comunicacao nos varios niveis  senso de humor e procuro sempre inovar com criatividade
cv43959.xml,certification; found in certifications,,,,,,,,,4,tenho disponibilidade para viagens e para atuar na regiao metropolitana de sao paulo
cv39525.xml,certification; matched to list,,,,,,,,,1,mcsd
cv44179.xml,certification; matched to list,,,,,,,,,1,mct
cv44179.xml,certification; found in certifications; matched to list,,,,,,,,,2,pmp
cv44179.xml,certification; found in certifications,,2013,,,,,,,,certificacao itil foundation
cv44179.xml,certification; found in certifications,,,,,,,,,4,exin
cv44179.xml,certification; found in certifications,,,,,,,,,5,pmi
cv43422.xml,certification; matched to list,,,,,,,,,1,scjp
cv43422.xml,certification; matched to list,,,,,,,,,2,sun certified java programmer
cv43422.xml,certification; matched to list,,,,,,,,,3,sun certified java
cv43422.xml,certification; matched to list,,,,,,,,,4,sun certified
cv43422.xml,certification; matched to list,,,,,,,,,5,certified java programmer
cv43422.xml,certification; matched to list,,,,,,,,,6,certified java
cv43422.xml,certification; matched to list,,,,,,,,,7,itil v3
cv44770.xml,certification; matched to list,,,,,,,,,1,pmp
cv44233.xml,certification; found in certifications; matched to list,,,,,,,,,1,pmp
cv44233.xml,certification; found in certifications; matched to list,,,,,,,,,2,project management professional
cv44233.xml,certification; found in certifications,,,,,,,,,3,itil foundation v.3 - exin
cv44233.xml,certification; found in certifications,,,,,,,,,4,psm i professional scrum master i - scrum.org
cv45564.xml,certification; found in certifications; matched to list,,,,,,,,,1,pmp
cv45564.xml,certification; found in certifications; matched to list,,,,,,,,,2,ibm certified
cv45564.xml,certification; found in certifications; matched to list,,,,,,,,,3,project management professional
cv45564.xml,certification; found in certifications; matched to list,,,,,,,,,4,certified tester
cv45564.xml,certification; found in certifications,,,,,,,,,5,ibm certified solution designer
cv45564.xml,certification; found in certifications,,,,,,,,,6,istqb certified tester foundation level (ctfl)1
cv45564.xml,istqb certified tester foundation level (ctfl)1,,,,,,,,,6,(ctfl)
cv45564.xml,istqb certified tester foundation level (ctfl)1,,,,,,,,,6,istqb certified tester foundation level
cv45564.xml,certification; found in certifications,,,,,,,,,9,borland starteam 6 certified professional2
cv45564.xml,certification; found in certifications,,,,,,,,,10,borland caliberrm 6 certified professional3
cv43537.xml,certification; found in certifications; matched to list,,,,,,,,,1,mcp
cv44593.xml,certification; found in certifications,,2012,,,,,,,,itil v3 foundation
cv44593.xml,certification; found in certifications; matched to list,,,,,,,,,2,itil v3
cv43749.xml,certification; found in certifications,,,,,,,,,1,pmp #1407496
cv43749.xml,certification; found in certifications; matched to list,,,,,,,,,2,pmp
cv45764.xml,certification; matched to list,,,,,,,,,1,pmp
cv45764.xml,certification,,,,,,,,,2,scrum fundamentals certified
cv43525.xml,certification; matched to list,,,,,,,,,1,pmp
cv43525.xml,certification,,2018,,,,,,,,scrum fundamentals certified (sfc(tm))  scrumstudy academy
cv43525.xml, associacao brasileira de pricing: professional certification in pricing (2015),,,,,,,,,3,professional certification in pricing (2015)
cv43525.xml,professional certification in pricing (2015),,,,,,,,,3,(2015)
cv43525.xml,professional certification in pricing (2015),,,,,,,,,3,professional certification in pricing
cv43515.xml,certification; found in certifications; matched to list,,,,,,,,,1,pmp
cv43515.xml,certification; matched to list,,,,,,,,,2,itil v3
cv43515.xml,certification; found in certifications,,,,,,,,,3,resumo de qualificcoes
cv43515.xml,certification; found in certifications,,,,,,,,,4,gestao de budget (capex e opex)
cv43515.xml,certification; found in certifications,,,,,,,,,5,bpm e bpo
cv43515.xml,certification; found in certifications,,,,,,,,,6,aris
cv43515.xml,certification; found in certifications,,,,,,,,,7,bizagi
cv43515.xml,certification; found in certifications,,,,,,,,,8,ibm business process manager
cv43515.xml,certification; found in certifications,,,,,,,,,9,treinamento em lean six sigma (green belt) - vanzoline
cv43515.xml,certification; found in certifications,,,,,,,,,10,itil soa capability modules (intermediaries) - itpartners
cv43515.xml,itil soa capability modules (intermediaries) - itpartners,,,,,,,,,10,(intermediaries)
cv43515.xml,itil soa capability modules (intermediaries) - itpartners,,,,,,,,,10,itil soa capability modules
cv43515.xml,certification; found in certifications,,2011,,,,,,,,itil      - itpartners
cv43515.xml,certification; found in certifications,,,,,,,,,14,cobit 5 - itpartners
cv43515.xml,certification; found in certifications,,,,,,,,,15,gerenciamento de projetos usando ms project - bakos consultoria
cv43515.xml,certification; found in certifications,,,,,,,,,16,gerenciamento de mudancas - fgv
cv43515.xml,certification; found in certifications,,,,,,,,,17,pontos de funcao (fpa) - unysis
cv43515.xml,pontos de funcao (fpa) - unysis,,,,,,,,,17,(fpa)
cv43515.xml,pontos de funcao (fpa) - unysis,,,,,,,,,17,pontos de funcao
cv43515.xml,certification; found in certifications,,,,,,,,,20,iso 27001 - impacta
cv43515.xml,certification; found in certifications,,,,,,,,,21,pl/sql - impacta
cv43515.xml,certification; found in certifications,,,,,,,,,22,java - impacta
cv43515.xml,certification; found in certifications,,,,,,,,,23,oracle forms e reports
cv43515.xml,certification; found in certifications,,,,,,,,,24,outros conhecimentos
