id,qualifications_qualificationsummary
cv42509.xml,qualificacoes e atividades complementares    licitacoes e pregoes   ingles basico;   secretariado;   hotelaria;   economia administracao e negocios ;   administracao financeira;   tecnicas de licitacao   licitacoes
cv41592.xml,habilidades  responsabilidade  criatividade  competencia  organizacao
cv45288.xml,conhecimentos suporte tecnico em redes (cisco packet tracer  windows server  configuracao  hardware em redes) corel draw  photoshop  admnistracao de redes sociais  auxilo em desenvolvimento em front end  html.
cv45848.xml,habilidades ingles intermediario. espanhol basico. html  bootstrap  css  jquery. sql e modelagem db design e mysql workbench pacote de ferramentas office. php  c/ c++ e java. bmc remedy  control-m  msproject  collabtive  photoshop  dreamweaver  sound forge  coreldraw. sgbds (sistemas gerenciadores de banco de dados) oracle  mysql  sql server. frameworks frontend (jquery  angular) frameworks php (laravel  zend2)
cv45359.xml,conhecimentos  levantamento de requisitos  acompanhamento de projetos;  acompanhamentos de projetos: jira;  metodologias: scrum  uml e orientacao a objetos (oo);  linguagens: delphi 6  7  2006 e 2010  c#  javascript  html  css;  banco de dados: sql server 2000 em diante  oracle 10g  msql;
cv44694.xml,conhecimentos especificos  ferramentas de coaching  conducao de sessao coaching  metodologias: scrum  kanban  xp  rup  linguagens de programacao: java  ruby  ecmascript (javascript)  frameworks: jpa/hibernate  vraptor  angularjs  rails  bootstrap  controle de versao: git e svn   conhecimentos complementares  experiencia atuando como coach pessoal e de times  experiencia como facilitador de processos de feedback pessoal e organizacional experiencia atuando em pre-venda de software experiencia como interprete espanhol - portugues - espanhol vivencia com  banco  de  dados  relacionais mysql  postgresql  nocoes  de banco  de dados  nao relacional (mongodb)  jboss application server  tomcat servlet container e ambiente linux.
cv45016.xml,qualificacao  experiencia e conhecimento em ambiente windows  office (word  excel  power point e access)  seguranca  em ambiente  tecnologico  internet/intranet.configuracao  de microcomputadores e notebook. nocoes redes lan e wan. suporte a impressoras remotas e trabalhos utilizando scanner.realizacao de backups de informacoes.
cv43209.xml,- informatica (word  excel  power point  pacote office) - digitacao - access  outlook - ingles basico- cil
cv42704.xml,additional skills  - proficient user of microsoft office e libreoffice; - knowledge in spss; psychological tests  training & development  recruitment & selection  competence mapping and management  job analysis and organizational analysis; - vision of a knowledge alliance between psychology  human resources and information and communication technologies in order to enhance organizational performance; - avaliability to meet further course studies in people and strategic management  among other areas.
cv44365.xml,qualificacoes e atividades profissionais   alteracoes no departamento pessoal com a implantacao do e-social - concluido marco/2018 - (senac);  curso de assistente de departamento pessoal - concluido em junho de 2016 (senac taguatinga);  curso de ingles basico - concluido em 2014 (senac e wizard);  informatica  pacote office: digitacao  excel  word  powerpoint e outlook - concluido em dezembro de 2010 (america data).   quem sou: uma pessoa honesta  proativa e atenciosa. gosto muito de ajudar pessoas e trabalhar em equipe. me identifico muito com a area de recursos humanos pois tenho facilidade de lidar com pessoas.
