id,schoolorinstitution_degree_comments,schoolorinstitution_degree_datesofattendance_enddate_anydate,schoolorinstitution_degree_datesofattendance_enddate_stringdate,schoolorinstitution_degree_datesofattendance_enddate_year,schoolorinstitution_degree_datesofattendance_enddate_yearmonth,schoolorinstitution_degree_datesofattendance_startdate_anydate,schoolorinstitution_degree_datesofattendance_startdate_year,schoolorinstitution_degree_datesofattendance_startdate_yearmonth,schoolorinstitution_degree_degreedate_anydate,schoolorinstitution_degree_degreedate_year,schoolorinstitution_degree_degreedate_yearmonth,schoolorinstitution_degree_degreemajor_name,schoolorinstitution_degree_degreemeasure_educationalmeasure_measuresystem,schoolorinstitution_degree_degreemeasure_educationalmeasure_measurevalue_stringvalue,schoolorinstitution_degree_degreeminor_name,schoolorinstitution_degree_degreename,schoolorinstitution_degree_userarea_degreeuserarea_graduated,schoolorinstitution_degree_userarea_degreeuserarea_id,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreename,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreetype,schoolorinstitution_postaladdress_countrycode,schoolorinstitution_postaladdress_municipality,schoolorinstitution_postaladdress_region,schoolorinstitution_school_schoolname
cv43586.xml,administracao de empresas - faculdade oswaldo cruz - 1997,,,1997,,notknown,,,,1997,,administracao de empresas,,,,,,deg-1,,,,,,faculdade oswaldo cruz
cv44573.xml,ensino superior cursando psicologia 6 semestre  fevereiro de 2018,,,,2018-02,notknown,,,,,,psicologia,,,,ensino superior,false,deg-1,ensino superior,some college,,,,
cv43046.xml,marco/2013 - julho/2015: pos-graduacao engenharia de sistema - esab,,,,2015-07,,,2013-03,,,2015-07,engenharia de sistema,,,,pos-graduacao,,deg-1,masters,masters,,,,
cv43046.xml,agosto/2007 - agosto/2011: graduacao tecnologo em analise e desenvolvimento de sistema - ifpe,,,,2011-08,,,2007-08,,,2011-08,tecnologo,,,,graduacao,,deg-2,bachelors,bachelors,,,,ifpe
cv43046.xml,marco/1993 - dez/1995: ensino medio/tecnico contabilidades e custos - epal,,,,1995-12,,,1993-03,,,1995-12,,,,,ensino medio,,deg-3,ensino medio,high school or equivalent,,,,tecnico contabilidades e custos
cv41718.xml,pos-graduacao: faculdade estacio. desenvolvimento  orientado  a  objetos  com  java -  previsao  de  conclusao  em 12/2018,,,,2018-12,notknown,,,,,,,,,,pos-graduacao,false,deg-1,masters,masters,,,,faculdade estacio
cv41718.xml,pos-graduacao: faculdade de tecnologia senac df banco de dados e business intelligence - concluido em 10/2014,,,,2014-10,notknown,,,,,2014-10,banco de dados e business intelligence,,,,pos-graduacao,true,deg-2,masters,masters,,,,faculdade de tecnologia senac df
cv41718.xml,bacharelado em sistemas de informacao - concluido em 12/2010,,,,2010-12,notknown,,,,,2010-12,sistemas de informacao,,,,bacharelado em sistemas de informacao,true,deg-4,bachelors,bachelors,,,,
cv41718.xml,graduacao: faculdade fortium,,,,,,,,,,,,,,,graduacao,,deg-3,bachelors,bachelors,,,,faculdade fortium
cv41592.xml,   ensino medio completo     tecnico em informatica (escola tecnica de brasilia - taguatinga/df),,,,,,,,,,,,,,,ensino medio completo,true,deg-1,ensino medio completo,high school or equivalent,br,taguatinga,df,escola tecnica de brasilia
