id,traininghistory_text,traininghistory_training_description,traininghistory_training_enddate_anydate,traininghistory_training_enddate_stringdate,traininghistory_training_enddate_year,traininghistory_training_enddate_yearmonth,traininghistory_training_entity,traininghistory_training_qualifications_qualification,traininghistory_training_startdate_anydate,traininghistory_training_startdate_stringdate,traininghistory_training_startdate_year,traininghistory_training_startdate_yearmonth,traininghistory_training_type
cv42509.xml,  nivel superior incompleto. cursando recursos humano,nivel superior incompleto. cursando recursos humano,,,,,,,,,,,unknown
cv44573.xml,  pacote office: windows  word excel e power point termino do curso dezembro/2019,termino do curso dezembro/2019,,,,,pacote office,,,,,,unknown
cv41718.xml,java basico e jsf2 80 horas softblue curso online php oo e mysql 60 horas ebsnet informatica desenvolvimento  mobile  apps  para 32 horas engo dtp multimidia ios swift,ios swift,,,,,ebsnet informatica,,,,,,unknown
cv45656.xml, departamento pessoal modelo (informare)  atendimento ao publico  montagem e manutencao de microcomputador  curso de formacao de bombeiro particular  capacitacao em aplicacao em aparelho gessado,capacitacao em aplicacao em aparelho gessado,,,,,,,,,,,unknown
cv44238.xml,01/2015 sql e logica de programacao 10/2014 softblue   02/2009 informatica avancada 02/2007 microcamp ,02/2007 microcamp,,,,2007-02,informatica avancada,,,,,,unknown
cv42373.xml,1. operador de micro i e ii (windows  word  excel  power point  access  corel  internet  antivirus  win zip  webmail) 2. workshop de rotinas administrativas 3. motivacao nas organizacoes  processo de comunicacao e comunicacao institucional 4. treinamento/capacitacao de office 2013 avancado (word  excel e power point) 5. treinamento e capacitacao de lideres 6. workshop de itil versao 3.,6. workshop de itil versao 3,,,,,,,,,,,unknown
cv42382.xml, diversidade nas organizacoes (fundacao getulio vargas (fgv) 15 horas-aula)  dialogando sobre a lei maria da penha (instituto legislativo brasileiro (ilb)  60 horas-aula)  desenvolvimento pessoal e profissional - tecnicas de lazer e recreacao (fundacao bradesco 12 horas-aula)  recrutamento e selecao (prime cursos) 35 horas-aula destaques  disponibilidade imediata  participacao no treinamento do programa de voluntariado do governo federal - brasil voluntario e atuacao como voluntaria na copa das confederacoes da fifa brasil 2013,participacao no treinamento do programa de voluntariado do governo federal - brasil voluntario e atuacao como voluntaria na copa das confederacoes da fifa brasil 2013,,,2013,,governo federal,,,,,,unknown
cv44694.xml,ruby  e  rails avancado   lidando com  mai/2010 - 20 horas caelum - sao paulo problemas do dia a dia,problemas do dia a dia,,,,2010-05,,,,,,,unknown
cv42862.xml," treinamento do nucleo de orientacao profissional 1  treinamento do nucleo de recrutamento e selecao 1  treinamento de grupo focal.  treinamento da ferramenta forms.  treinamento de levantamento de perfil  treinamento de dinamica em orientacao profissional  treinamento de manejo de grupo  treinamento de dinamica em recrutamento e selecao *obs: treinamentos internos da empresa junior  praxis  ministrados por professores  profissionais ou alunos com experiencia no assunto. atividades realizadas  divulgacao de vagas de empregos e estagios para empresas  triagem de curriculos  realizacao de entrevistas e dinamicas  recrutamento e selecao por competencias  elaboracao de relatorios e pareceres  experiencia pratica: todo o processo de recrutamento e selecao para uma vaga de ti  treinamento de feedback  conhecimento do pacote office.  flexibilidade nos horarios academicos. atividades complementares  participa como voluntaria da ong ""sorrindo""  que realiza atendimentos multiprofissionais a populacao carente nacional e internacional. - provavel conclusao: 2019/2",provavel conclusao: 2019/2,,,,,"ong ""sorrindo""",,,,,,unknown
cv45016.xml,  tecnico mecatronica   seguranca em instalacoes e servicos com eletricidade - nr10   montagem de manutencao de computadores e redes   manutencao de impressoras informacoes adicionais ja executei trabalhos autonomos como tecnico em informatica durante o processo de finalizacao dos cursos de informaticas  trabalhos como tecnico de iluminacao montagem  operacao  reparos.,de iluminacao montagem  operacao  reparos,,,,,,,,,,,unknown
