culture_country,culture_cultureinfo,culture_language,id
br,en-au,pt,cv41718.xml
br,en-au,pt,cv45016.xml
br,pt-br,pt,cv44133.xml
br,en-au,pt,cv48180.xml
br,pt-br,pt,cv43422.xml
br,en-au,pt,cv54430.xml
br,en-au,pt,cv56582.xml
br,en-au,pt,cv54241.xml
br,pt-br,pt,cv51298.xml
br,en-au,pt,cv48450.xml
br,pt-br,pt,cv51305.xml
br,en-au,pt,cv52099.xml
br,en-au,pt,cv45197.xml
br,pt-br,pt,cv44959.xml
br,en-au,pt,cv52132.xml
br,en-au,pt,cv53048.xml
br,pt-br,pt,cv44255.xml
br,pt-br,pt,cv51290.xml
br,pt-br,pt,cv51688.xml
br,en-au,pt,cv43324.xml
br,en-au,pt,cv52851.xml
br,pt-br,pt,cv52741.xml
br,pt-br,pt,cv45664.xml
br,pt-br,pt,cv47999.xml
br,pt-br,pt,cv47294.xml
br,en-au,pt,cv38194.xml
br,en-au,pt,cv42788.xml
br,en-au,pt,cv48176.xml
br,pt-br,pt,cv44221.xml
br,en-au,pt,cv55781.xml
br,pt-br,pt,cv48867.xml
br,nl-nl,pt,cv48013.xml
br,pt-br,pt,cv48915.xml
br,pt-br,pt,cv51683.xml
br,pt-br,pt,cv43447.xml
br,pt-br,pt,cv21862.xml
br,en-au,pt,cv44974.xml
br,pt-br,pt,cv48829.xml
br,en-au,pt,cv55088.xml
br,pt-br,pt,cv54325.xml
br,pt-br,pt,cv51587.xml
br,pt-br,pt,cv44194.xml
br,pt-br,pt,cv48015.xml
br,pt-br,pt,cv48699.xml
br,en-au,pt,cv53094.xml
br,en-au,pt,cv51897.xml
br,en-au,pt,cv47262.xml
br,en-au,pt,cv51483.xml
br,pt-br,pt,cv44383.xml
br,en-au,pt,cv55006.xml
br,pt-br,pt,cv20844.xml
br,en-au,pt,cv43974.xml
br,en-au,pt,cv51882.xml
br,en-au,pt,cv37780.xml
br,pt-br,pt,cv44924.xml
br,pt-br,pt,cv47781.xml
br,pt-br,pt,cv49082.xml
br,pt-br,pt,cv54314.xml
br,pt-br,pt,cv43517.xml
br,en-au,pt,cv48105.xml
br,pt-br,pt,cv44171.xml
br,en-au,pt,cv53850.xml
br,en-au,pt,cv38068.xml
br,en-au,pt,cv52538.xml
br,en-au,pt,cv47198.xml
br,pt-br,pt,cv42700.xml
br,pt-br,pt,cv47784.xml
br,en-au,pt,cv44279.xml
br,en-au,pt,cv54026.xml
br,en-au,pt,cv44319.xml
br,en-au,pt,cv42880.xml
br,pt-br,pt,cv38500.xml
br,en-au,pt,cv41677.xml
br,en-au,pt,cv42396.xml
br,en-au,pt,cv51908.xml
br,pt-br,pt,cv45529.xml
br,en-au,pt,cv43994.xml
br,pt-br,pt,cv43942.xml
br,en-au,pt,cv52252.xml
br,en-au,pt,cv44517.xml
br,pt-br,pt,cv48356.xml
br,en-au,pt,cv44330.xml
br,pt-br,pt,cv51576.xml
br,en-au,pt,cv42847.xml
br,en-au,pt,cv44510.xml
br,en-au,pt,cv52311.xml
br,en-au,pt,cv51109.xml
br,en-au,pt,cv43325.xml
br,pt-br,pt,cv34194.xml
br,pt-br,pt,cv50205.xml
br,en-au,pt,cv51606.xml
br,pt-br,pt,cv48029.xml
br,en-au,pt,cv54185.xml
br,en-au,pt,cv45334.xml
br,en-au,pt,cv48555.xml
br,pt-br,pt,cv51693.xml
br,en-au,pt,cv48205.xml
br,pt-br,pt,cv51692.xml
br,pt-br,pt,cv41853.xml
br,pt-br,pt,cv2567.xml
br,pt-br,pt,cv56549.xml
br,en-au,pt,cv48027.xml
br,pt-br,pt,cv44320.xml
br,pt-br,pt,cv45912.xml
br,pt-br,pt,cv51575.xml
br,en-au,pt,cv53807.xml
br,en-au,pt,cv55173.xml
br,en-au,pt,cv43369.xml
br,en-au,pt,cv44881.xml
br,pt-br,pt,cv44112.xml
br,en-au,pt,cv43619.xml
br,pt-br,pt,cv6499.xml
br,en-au,pt,cv55786.xml
br,pt-br,en,cv44225.xml
br,en-au,pt,cv44059.xml
br,en-au,pt,cv24173.xml
br,pt-br,pt,cv47579.xml
br,pt-br,pt,cv21807.xml
br,pt-br,en,cv38615.xml
br,pt-br,pt,cv51585.xml
br,pt-br,pt,cv51581.xml
br,pt-br,pt,cv48646.xml
br,en-au,pt,cv53023.xml
br,pt-br,pt,cv51684.xml
br,pt-br,pt,cv47614.xml
br,en-au,pt,cv52102.xml
br,pt-br,pt,cv20075.xml
br,pt-br,pt,cv51154.xml
br,pt-br,pt,cv38677.xml
br,pt-br,pt,cv42894.xml
br,en-au,pt,cv51662.xml
br,en-au,pt,cv45986.xml
br,en-au,pt,cv48026.xml
br,en-au,pt,cv54224.xml
br,en-au,pt,cv45324.xml
br,en-au,pt,cv43146.xml
br,en-au,pt,cv49830.xml
br,pt-br,pt,cv44629.xml
br,en-au,pt,cv44982.xml
br,pt-br,pt,cv45616.xml
br,pt-br,pt,cv44178.xml
br,pt-br,pt,cv51256.xml
br,pt-br,pt,cv43134.xml
br,pt-br,pt,cv49350.xml
br,en-au,pt,cv44536.xml
br,pt-br,pt,cv51601.xml
br,pt-br,pt,cv51580.xml
br,en-au,pt,cv52563.xml
br,en-au,pt,cv51479.xml
br,en-au,pt,cv55737.xml
br,pt-br,pt,cv51685.xml
br,pt-br,pt,cv48910.xml
br,pt-br,pt,cv44960.xml
br,pt-br,pt,cv53095.xml
br,pt-br,pt,cv43933.xml
br,en-au,pt,cv48265.xml
br,en-au,pt,cv44258.xml
br,pt-br,pt,cv44242.xml
br,pt-br,pt,cv51682.xml
br,en-au,pt,cv44275.xml
br,en-au,pt,cv54891.xml
br,pt-br,pt,cv51579.xml
br,pt-br,pt,cv51584.xml
br,pt-br,pt,cv47921.xml
br,en-au,pt,cv43358.xml
br,en-au,pt,cv44538.xml
br,pt-br,pt,cv41283.xml
br,pt-br,en,cv51690.xml
br,en-au,pt,cv43315.xml
br,pt-br,pt,cv53153.xml
br,pt-br,pt,cv51703.xml
br,en-au,pt,cv45090.xml
br,en-au,pt,cv48381.xml
br,en-au,pt,cv42684.xml
br,pt-br,pt,cv47632.xml
br,en-au,pt,cv56254.xml
br,pt-br,pt,cv43328.xml
br,pt-br,pt,cv51430.xml
br,pt-br,pt,cv53270.xml
br,pt-br,pt,cv52213.xml
br,en-au,pt,cv51385.xml
br,pt-br,pt,cv37384.xml
br,pt-br,pt,cv45902.xml
br,pt-br,pt,cv47643.xml
br,pt-br,pt,cv43893.xml
br,en-au,pt,cv44082.xml
br,pt-br,pt,cv53683.xml
br,pt-br,pt,cv44200.xml
br,pt-br,pt,cv44739.xml
br,pt-br,pt,cv47938.xml
br,en-au,pt,cv44334.xml
br,pt-br,pt,cv47533.xml
br,pt-br,pt,cv41240.xml
br,en-au,pt,cv51663.xml
br,pt-br,pt,cv44402.xml
br,en-au,pt,cv51900.xml
br,pt-br,pt,cv48760.xml
br,en-au,pt,cv52822.xml
br,pt-br,pt,cv44174.xml
br,pt-br,pt,cv49794.xml
br,pt-br,pt,cv45002.xml
br,en-au,pt,cv51624.xml
br,en-au,pt,cv43064.xml
br,en-au,pt,cv55708.xml
br,pt-br,pt,cv54993.xml
br,en-au,pt,cv51928.xml
br,en-au,pt,cv35152.xml
br,en-au,pt,cv52634.xml
br,pt-br,pt,cv49131.xml
br,pt-br,pt,cv54561.xml
br,pt-br,pt,cv48549.xml
br,en-au,pt,cv44526.xml
br,en-au,pt,cv48400.xml
br,en-au,pt,cv42896.xml
br,en-au,pt,cv44287.xml
br,pt-br,pt,cv55591.xml
br,pt-br,pt,cv44533.xml
br,pt-br,pt,cv44738.xml
br,pt-br,pt,cv45128.xml
br,pt-br,pt,cv46018.xml
br,en-au,pt,cv50476.xml
br,pt-br,pt,cv44478.xml
br,pt-br,pt,cv51946.xml
br,pt-br,pt,cv48197.xml
br,pt-br,pt,cv51583.xml
br,pt-br,pt,cv55005.xml
br,en-au,pt,cv51869.xml
br,pt-br,pt,cv49382.xml
br,en-au,pt,cv46062.xml
br,pt-br,pt,cv21330.xml
br,pt-br,pt,cv51210.xml
br,pt-br,pt,cv54016.xml
br,pt-br,pt,cv45606.xml
br,pt-br,pt,cv51691.xml
br,en-au,pt,cv49203.xml
br,en-au,pt,cv52054.xml
br,pt-br,pt,cv51687.xml
br,en-au,pt,cv45108.xml
br,en-au,pt,cv38840.xml
br,en-au,pt,cv43336.xml
br,en-au,pt,cv52476.xml
br,en-au,pt,cv54968.xml
br,en-au,pt,cv55767.xml
br,en-au,pt,cv51610.xml
br,pt-br,pt,cv47640.xml
br,en-au,pt,cv44318.xml
br,en-au,pt,cv52038.xml
br,pt-br,pt,cv51577.xml
br,pt-br,pt,cv55417.xml
br,pt-br,pt,cv44224.xml
br,pt-br,pt,cv55424.xml
br,en-au,pt,cv48033.xml
br,pt-br,pt,cv43689.xml
br,pt-br,en,cv43508.xml
br,pt-br,pt,cv45084.xml
br,pt-br,pt,cv56295.xml
br,en-au,pt,cv52105.xml
br,en-au,pt,cv47719.xml
br,en-au,pt,cv48808.xml
br,pt-br,pt,cv47519.xml
br,en-au,pt,cv52935.xml
br,pt-br,pt,cv49106.xml
br,en-au,pt,cv48023.xml
