id,language_comments,language_languagecode,language_read,language_speak,language_write
cv41718.xml,inglês - básico,en,false,true,false
cv41718.xml,[resume_language],pt,true,true,true
cv45016.xml,[resume_language],pt,true,true,true
cv44133.xml,inglês intermediário.,en,true,true,true
cv44133.xml,[resume_language],pt,true,true,true
cv48180.xml,[resume_language],pt,true,true,true
cv43422.xml,[resume_language],pt,true,true,true
cv54430.xml,[resume_language],pt,true,true,true
cv56582.xml,[resume_language],pt,true,true,true
cv54241.xml,[resume_language],pt,true,true,true
cv51298.xml,inglês avançado (cursando) [and] inglês - ccbeu e aulas,en,false,true,false
cv51298.xml,[resume_language],pt,true,true,true
cv48450.xml,inglês fluente aprendizado autodidata e [and] avaliado por: cambridge english language assessment,en,true,true,true
cv48450.xml,[resume_language],pt,true,true,true
cv51305.xml,inglês: intermediário (intermediário) - british,en,true,true,true
cv51305.xml,[resume_language],pt,true,true,true
cv52099.xml,[resume_language],pt,true,true,true
cv45197.xml,● inglês - intermediário,en,true,true,true
cv45197.xml,● espanhol - básico,es,false,true,false
cv45197.xml,[resume_language],pt,true,true,true
cv44959.xml,[resume_language],pt,true,true,true
cv52132.xml,inglês intermediário - wizard (2015),en,true,true,true
cv52132.xml,[resume_language],pt,true,true,true
cv53048.xml,espanhol:,es,false,true,false
cv53048.xml,inglês:,en,false,true,false
cv53048.xml,[resume_language],pt,true,true,true
cv44255.xml,inglês - avançado / fluente,en,true,true,true
cv44255.xml,espanhol - intermediário,es,true,true,true
cv44255.xml,[resume_language],pt,true,true,true
cv51290.xml,• inglês - nível intermediário -,en,true,true,true
cv51290.xml,• espanhol - nível básico -,es,false,true,false
cv51290.xml,[resume_language],pt,true,true,true
cv51688.xml,[resume_language],pt,true,true,true
cv43324.xml,[resume_language],pt,true,true,true
cv52851.xml,[resume_language],pt,true,true,true
cv52741.xml,inglês ( nível técnico ),en,false,true,false
cv52741.xml,[resume_language],pt,true,true,true
cv45664.xml,● inglês intermediário / inglês técnico. [and] ● inglês intermediário / inglês técnico.,en,true,true,true
cv45664.xml,● japonês intermediário. [and] certificate japanese language proficiency nível 3,ja,true,true,true
