id,schoolorinstitution_degree_comments,schoolorinstitution_degree_datesofattendance_enddate_anydate,schoolorinstitution_degree_datesofattendance_enddate_stringdate,schoolorinstitution_degree_datesofattendance_enddate_year,schoolorinstitution_degree_datesofattendance_enddate_yearmonth,schoolorinstitution_degree_datesofattendance_startdate_anydate,schoolorinstitution_degree_datesofattendance_startdate_year,schoolorinstitution_degree_datesofattendance_startdate_yearmonth,schoolorinstitution_degree_degreedate_anydate,schoolorinstitution_degree_degreedate_year,schoolorinstitution_degree_degreedate_yearmonth,schoolorinstitution_degree_degreemajor_name,schoolorinstitution_degree_degreeminor_name,schoolorinstitution_degree_degreename,schoolorinstitution_degree_userarea_degreeuserarea_graduated,schoolorinstitution_degree_userarea_degreeuserarea_id,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreename,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreetype,schoolorinstitution_postaladdress_countrycode,schoolorinstitution_postaladdress_municipality,schoolorinstitution_postaladdress_region,schoolorinstitution_school_schoolname
cv41718.xml,pós-graduação: faculdade estácio. desenvolvimento  orientado  a  objetos  com  java -  previsão  de  conclusão  em 12/2018,,,,2018-12,notknown,,,,,,,,pós-graduação,false,deg-1,masters,masters,,,,faculdade estácio
cv41718.xml,pós-graduação: faculdade de tecnologia senac df banco de dados e business intelligence - concluído em 10/2014,,,,2014-10,notknown,,,,,2014-10,banco de dados e business intelligence,,pós-graduação,true,deg-2,masters,masters,,,,faculdade de tecnologia senac df
cv41718.xml,bacharelado em sistemas de informação - concluído em 12/2010,,,,2010-12,notknown,,,,,2010-12,sistemas de informação,,bacharelado em sistemas de informação,true,deg-4,bachelors,bachelors,,,,
cv41718.xml,graduação: faculdade fortium,,,,,,,,,,,,,graduação,,deg-3,bachelors,bachelors,,,,faculdade fortium
cv45016.xml,centro universitário iesb curso: engenharia da computação (cursando 2° semestre - noturno),,,,,,,,,,,engenharia da computação,,,false,deg-1,,,,,,centro universitário iesb
cv44133.xml,• universidade ibirapuera ciência da computação - concluído.,,,,,,,,,,,ciência da computação,,,true,deg-1,,,,,,universidade ibirapuera
cv48180.xml,graduação em análise e desenvolvimento de sistemas ucb - universidade católica de brasília,,,,,,,,,,,desenvolvimento de sistemas,,graduação em análise e desenvolvimento de sistemas,,deg-1,bachelors,bachelors,,,,ucb - universidade católica de brasília
cv48180.xml,graduação em gestão da tecnologia da informação ucb - universidade católica de brasília,,,,,,,,,,,gestão da tecnologia da informação,,graduação em gestão da tecnologia da informação,,deg-2,bachelors,bachelors,,,,ucb - universidade católica de brasília
cv43422.xml,2002 - 2006 bacharel em sistemas de informação nível 6 qrq faculdade santa terezinha/anhanguera principais competências adquiridas: *   projeto e análise de sistemas *   modelagem de bancos de dados *   lógica e programação *   redes de computadores,,,2006,,,2002,,,2006,,nível 6 qrq,,bacharel em sistemas de informação,,deg-1,bachelors,bachelors,,,,faculdade santa terezinha/anhanguera
cv54430.xml,psicologia  universidade de brasília  7° semestre.  formação acadêmica complementar março/2018 - atualmente: grupo perfil- avaliação psicológica em segurança pública e privada  •  revisão de capítulo de livro  •  perfil profissiográfico do soldado militar do df pela ótica da polícia feminina,,current,,,,,2018-03,,,,ótica da polícia feminina,,df,false,deg-1,doctorate,doctorate,,,,universidade de brasília
cv54430.xml,janeiro/2018- atualmente: praxis consultoria em gestão de pessoas  empresa junior de psicologia da universidade de brasília  cargo de assessora de gestão de pessoas e de consultora    •  assessoria: pensar intervenções para demandas da empresa  auxiliar na       elaboração de política e eventos de reconhecimento dos membros; conduzir       entrevistas de desligamento  conduzir entrevistas de acompanhamento    •  consultoria: treinamento de feedback- ministrar treinamento de feedback.       processo seletivo aiesec- conduzir grupo focal para levantamento de perfil ;       auxiliar na elaboração da construção do roteiro de entrevista da aiesec;       conduzir entrevistas por competência  dar feedbacks aos candidatos; auxiliar na       alocação de candidatos.  janeiro/2018- atualmente: pibic: análise profissiográfica e mapeamento de competências do cargo de soldado da polícia militar do df  sob orientação da professora cristiane faiad.    •  capacitação em mapeamento de competências  profissiografia  grupo focal        design thinking; levantamento bibliográfico.    •  realização de grupo focal para mapeamento de competências e para análise       profissiográfica.,,current,,,,,2018-01,,,,orientação da professora cristiane faiad,design,df,false,deg-2,doctorate,doctorate,,,,empresa junior de psicologia da universidade de brasília
cv54430.xml,agosto/2017 a dezembro/2017: disciplina de recrutamento e seleção    •  atividade prática de elaborar um processo seletivo- doutores com riso.  março/2017 a julho/2017: disciplina tópico em psicologia social: personalidade,,,,2017-12,,,2017-08,,,2017-12,disciplina tópico,,,,deg-3,,,,,,doutores com riso
cv56582.xml,• bacharelado em psicologia - uniceub - conclusão em 12/2016,,,,2016-12,notknown,,,,,2016-12,psicologia,,bacharelado em psicologia,,deg-1,bachelors,bachelors,,,,uniceub
cv54241.xml,administração de empresas   faculdade uninter 2015 - 2019,,,2019,,,2015,,,,,administração de empresas,,,false,deg-1,,,,,,faculdade uninter
cv54241.xml,curso de gestão de pessoas   faculdade uninter 2016,,,2016,,notknown,,,,2016,,curso de gestão,,,,deg-2,,,,,,faculdade uninter
cv54241.xml,curso de ética   fgv 2015  curso de inglês   cilg,,,2015,,notknown,,,,2015,,,,,,deg-3,,,,,,fgv
cv51298.xml,graduação em administração de empresas - universidade presbiteriana mackenzie,,,,,,,,,,,administração de empresas,,graduação em administração de empresas,,deg-1,bachelors,bachelors,,,,universidade presbiteriana mackenzie
cv48450.xml,cursos curso: gestão em tecnologia da informação análise de requisitos orientada a negócio grau: graduação instituição: x25 treinamento e consultoria - mês/ano: 07/2012 instituição: unicesumar/pr,,,,2012-07,notknown,,,,,2012-07,instituição,,graduação,,deg-1,bachelors,bachelors,,,,unicesumar
cv48450.xml,instituição: uniceub / dfjug  - mês/ano: 08/2010,,,,2010-08,notknown,,,,,2010-08,,,,,deg-2,,,,,,uniceub
cv51305.xml,pece/usp - 2018 mba em tecnologia de software curso de extensão fiap - shift – maio/2018 introdução tofaf 9.2,,,2018,,notknown,,,,,,tecnologia de software,,mba,false,deg-1,mba,mba,,,,fiap
cv51305.xml,isae - fgv - 02/2016 tecnólogo em processos gerenciais,,,,2016-02,notknown,,,,,2016-02,,,,,deg-2,,,,,,isae - fgv
cv51305.xml,curso de extensão fiap - set/2010 visual studio 2008,,,,2010-09,notknown,,,,,2010-09,,,,,deg-3,,,,,,fiap
cv52099.xml,➢  palestra speed (e-social) – faculdade iesb;              ➢  perfil generalista;              ➢  departamento pessoal:                 ●  elaboração e fechamento de folha de pagamento; encargos sociais  admissões  cálculo                    de férias  cálculos de 13º salário;                 ●  admissões e rescisões contratuais;                 ●  envio de rais  dirf e caged;                 ●  preparação dos documentos para homologação  garantindo o cumprimento dos                    procedimentos legais;                 ●  conhecimento e domínio no esocial;                 ●  acompanhamento na implantação do e social e reforma trabalhista              ➢  recursos humanos:                 ●  responsável pelo recrutamento e seleção de novos colaboradores;                 ●  desenvolve planos de carreiras;                 ●  cargos e salários                  ●  entrevista de desligamento                  ●  avaliação de desempenho pessoal                  ●  treinamento e desenvolvimento de acordo com as necessidades levantadas.                 ●  integração de funcionários.                 ●  intermediação na solução de conflitos.                 ●  dissemina cultura organizacional;           graduação/cursos mba em gestão estratégica de pessoas      estácio de sá - concluído em 12/2019,,,,2019-12,notknown,,,,,,gestão estratégica de pessoas,,mba,false,deg-1,mba,mba,,,,faculdade iesb
cv52099.xml,graduação em psicologia centro universitário udf - concluído em 12/2018,,,,2018-12,notknown,,,,,,psicologia,,graduação em psicologia,false,deg-2,bachelors,bachelors,,,,centro universitário udf
cv52099.xml,graduação em gestão de recursos humanos   faculdade jk - asa norte concluído em 12/2012 técnico em administração senac -1000 h/a departamento pessoal vellux tecnologia - 48 h/a treinamento e desenvolvimento senac - 20 h/a recrutamento e seleção senac - 40 h/a,,,,2012-12,notknown,,,,,2012-12,técnico,,graduação em gestão de recursos humanos,true,deg-3,bachelors,bachelors,,,,faculdade jk - asa norte
cv52099.xml,legislação trabalhista senac - 30 h/a pessoas  liderança e rh fgv - 12 h/a administração de recursos humanos cursos abrafordes - 60 h/a curso e-social cefis - 3:25 h/a,,,,,,,,,,,liderança e rh,,,,deg-4,,,,,,senac
cv45197.xml,fundação getúlio vargas  fgv pós graduação em administração de empresas março de 2016 - junho de 2018,,,,2018-06,,,2016-03,,,,administração de empresas,,pós graduação em administração de empresas,false,deg-2,bachelors,bachelors,,,,fundação getúlio vargas  fgv
cv45197.xml,universidade brasília  unb licenciatura em computação janeiro de 2005 - dezembro de 2009,,,,2009-12,,,2005-01,,,2009-12,,,,,deg-1,,,,,,universidade brasília  unb
cv44959.xml,cursando 1° semestre de ciencias da computação - iesb,,,,,,,,,,,,,,false,deg-1,,,,,,iesb
cv52132.xml,30/12/2018 livre senac,2018-12-30,,,,notknown,,,,,,,,,false,deg-2,,,,,,senac
cv52132.xml,01/01/2015 -   30/12/2016    superior em análise e desenvolvimento de sistemas     uniceub 01/07/2017 - pós graduação em banco de dados e business intelligence com ênfase em software,2016-12-30,,,,2015-01-01,,,2016-12-30,,,ênfase,,pós graduação em banco de dados e business intelligence,,deg-1,bachelors,bachelors,,,,uniceub
cv53048.xml,pós-graduação - especialização perícia digital  ucb. (julho de 2009) - concluído,,,,2009-07,notknown,,,,,2009-07,perícia digital,,pós-graduação,true,deg-1,masters,masters,,,,ucb
cv53048.xml,graduação ciência da computação  unip. (janeiro de 2005) - concluído,,,,2005-01,notknown,,,,,2005-01,ciência da computação,,graduação,true,deg-2,bachelors,bachelors,,,,unip
cv44255.xml,mba executivo em gerenciamento de projetos - concluído em 2006 fgv - fundação getúlio vargas,,,2006,,notknown,,,,2006,,executivo,,mba,true,deg-1,mba,mba,,,,fgv - fundação getúlio vargas
cv44255.xml,lato sensu em administração de bancos de dados - concluído em 1999 universidade metodista de são paulo,,,1999,,notknown,,,,1999,,lato sensu,,,true,deg-2,,,br,são paulo,,universidade metodista de são paulo
cv44255.xml,bacharelado em matemática com informática - concluído em 1997 fundação santo andré,,,1997,,notknown,,,,1997,,informática,,bacharelado em matemática,true,deg-3,bachelors,bachelors,,,,fundação santo andré
cv51290.xml,• superior completo - universidade são judas tadeu  • bacharel em sistemas de informação  • ano de conclusão: 2007,,,2007,,notknown,,,,2007,,sistemas de informação,,bacharel em sistemas de informação,true,deg-1,bachelors,bachelors,,,,universidade são judas tadeu
cv51290.xml,• 2º grau completo - colégio argumento - objetivo  • técnico em processamento de dados.,,,,,,,,,,,,,,true,deg-2,,,,,,colégio argumento
cv51688.xml,faap - fundação armando álvares penteado administração de empresas  analise de sistemas  1976 - 1981,,,1981,,,1976,,,1981,,administração de empresas,,,,deg-1,,,,,,faap - fundação armando álvares penteado
