id,traininghistory_text,traininghistory_training_description,traininghistory_training_enddate_anydate,traininghistory_training_enddate_stringdate,traininghistory_training_enddate_year,traininghistory_training_enddate_yearmonth,traininghistory_training_entity,traininghistory_training_qualifications_qualification,traininghistory_training_startdate_anydate,traininghistory_training_startdate_year,traininghistory_training_startdate_yearmonth,traininghistory_training_type
cv6499.xml,2009 - 2012,2009 - 2012,,,2012,,,,,2009,,unknown
cv49350.xml,análise e programação •  modelagem de dados utilizando erwin 4 •  java •  oop •  técnicas de negociação • orientação  objetos e uml - 16 horas - 01/2005 • ferramenta de controle de versão - visual source safe administrador/client  - 04 horas - 05/2003 • jsp/servlet  - 32 horas - 02/2002 • orientação objeto com java - 01/2002 • linguagem de programação java - 40 horas - 09/2000 • modelagem de dados - 16 horas - 06/1997 • microsoft e-comerce 2000 • perfil scm - 02 horas - 01/2005 • processo de construção de software - 04 horas - 06/2004 • processo de revisão em pares - 04 horas - 06/2004 • processo gerenciamento de configuração scm - 04 horas - 06/2004 • processo de programa de treinamento - 04 horas - 06/2004 • processo de gestão de projetos - 08 horas - 06/2004 • papel sepg - 04 horas - 06/2004 • papel sqa - 04 horas - 06/2004 • processo teste de software - 04 horas - 06/2004 • processo medição e análise - 04 horas - 06/2004 • padrões de programação e melhores práticas - 02 horas - 07/2003 • smart client - microsoft - 40 horas • 2310-developing microsoft asp.net web applications using visual studio.net • 2389-programming with microsoft ado.net • 2124-programming with c# • 2071-querying microsoft sql server 2000 • 2073-programming a microsoft sql server 2000 • 1303-mastering ms visual basic 6.0 fundamentals • 1013-mastering ms visual basic 6.0 development • 1017-mastering web application development using microsoft visual interdev • 1905-building xml - based web applications • 2373-programming with microsoft visual basic net • 20480-programming in html5 with javascript and css3 - visual studio 2012 • 20486-developing asp.net mvc 4 web applications - visual studio 2012 • 20487-developing windows azure and web services - visual studio 2012 ,padrões de programação e melhores práticas - 02 horas - 07/2003 • smart client - microsoft - 40 horas • 2310-developing microsoft asp.net web applications using visual studio.net • 2389-programming with microsoft ado.net • 2124-programming with c# • 2071-querying microsoft sql server 2000 • 2073-programming a microsoft sql server 2000 • 1303-mastering ms visual basic 6.0 fundamentals • 1013-mastering ms visual basic 6.0 development • 1017-mastering web application development using microsoft visual interdev • 1905-building xml - based web applications • 2373-programming with microsoft visual basic net • 20480-programming in html5 with javascript and css3 - visual studio 2012 • 20486-developing asp.net mvc 4 web applications - visual studio 2012 • 20487-developing windows azure and web services - visual studio 2012,,,2000,2003-07,,,,,,unknown
cv48176.xml,•  fundamentos em teste de software - em andamento (x25 treinamento e consultoria) •  curso preparatório para certificação ctfl,curso preparatório para certificação ctfl,,,,,x25 treinamento e consultoria,,,,,unknown
cv48180.xml,certified tester foundation level - ctfl scrum fudamentals certified - sfc,scrum fudamentals certified - sfc,,,,,foundation level - ctfl,certified tester,,,,unknown
cv45529.xml,• automação do zero (qa faixa preta) - (30 horas) - qa ninja - em andamento ◦ modulo zero: ruby for test e tdd - concluído. ◦ modulo web 1: automação bdd  ruby  capybara  selenium webdriver  cucumber - concluído. ◦ modulo web 2: automação avançada  page objects - concluído. ◦ modulo db: mongo db - concluído. ◦ modulo mobile 1: automação mobile com appium - concluído. ◦ modulo mobile 2: automação mobile avançada  bdd  ruby e cucumber - concluído. ◦ modulo api 1: automação de api com ruby  httparty  rspec - em andamento ◦ modulo entrega continua: docker  jenkins  git  reports - em andamento. • agilidade em seu projeto - (8 horas) -  alura caelum - jan/2018. • métodos ágeis: introdução - (8 horas) -  alura caelum - jan/2018. • scrum master - (16 horas) - gft - fev/2016 • selenium webdrive e java - (10 horas) - alura caelum - set/2015. • treinamento de ctfl - (40 horas) - ti exames - ago/2014. • mainframe - (360 horas) - capgemini - ago/2011. • introdução a apf - (10 horas) - capgemini - fev/2012. ,introdução a apf - (10 horas) - capgemini - fev/2012,,,,2012-02,,,,,,unknown
cv24173.xml,pacote office (word  windows  excel  power point) sql básico (select  creat  update e delete) ctfl (certified tester  foundation level - bstqb  licença 16-ctfl-05696-br).,ctfl (certified tester  foundation level - bstqb  licença 16-ctfl-05696-br),,,,,foundation level - bstqb,certified tester,,,,unknown
cv43508.xml,dec 2015 - jul 2017 salvador area  brazil acting as server leader of the development team  as a 2008 - 2013 scrum master soledade tecnologia,2008 - 2013 scrum master soledade tecnologia,,,2013,2017-07,,,,2008,2015-12,unknown
cv47632.xml,• autocad - senai • revit architecture - senai • java e orientação a objetos - certificado pela k19 • jdbc e banco de dados em java - certificado pela k19 • programação web usando jsf  jpa e hibernate - certificado pela k19 • programação android - caelum,programação android - caelum,,,,,senai,,,,,unknown
cv55417.xml,sql server -  impacta tecnologia sp/capital 02/2011   arquitetura de software - eduardo pires   sp/capital 06/2017   xml e design patterns - caelum sp/capital 07/2012 ,xml e design patterns - caelum sp/capital 07/2012,,,,2012-07,arquitetura de software - eduardo pires,,,,,unknown
cv45902.xml,2015 - 2015 curso de angularjs com spring mvc webstorm  bower  grunt  - senai (40 horas)  2015 - 2015 curso arquitetura e design em projetos java  web services soap e wsdl  webservices rest - caelum (40 horas)  2015 - 2015 curso de dba oracle - rgv (120 horas)  2015 - 2015 curso de práticas ágeis de desenvolvimento de software java com integração contínua git  maven  hudson  sonar  junit - senai (40 horas)  2011  -  2011  java  desenvolvimento  web  com  banco  de  dados  mysql.  html  java  script  css  jsp  taglibs  escopo  controle de sessões  padrões de projeto mvc e syp  jdbc (40 horas)  2011 - 2011 ibm db2 sql pl programming workshop - data modelling (8 horas)  2011 - 2011 ibm db2 stored procedure workshop - data modelling (8 horas)  2008 - 2008 curso programação em delphi com banco de dados postgresql. - unievangélica (40 horas)   2002-08 - 2006-08 departamento de informática na baan na cidade de anápolis. ,2002-08 - 2006-08 departamento de informática na baan na cidade de anápolis,,,2008,2006-08,unievangélica,,,2008,2002-08,unknown
cv49131.xml,• scrum master • trainnig • 20 horas • 2014 • intercâmbio • ilcs • 160 horas • 2014 • inglês  • oneway • 04 anos • 2013 remuneração atual: 5.500 00 clt benefícios (favor detalhar): vt e assistência médica bônus (favor detalhar): nenhum pretensão salarial: benefícios: a partir de 6.000 00,benefícios: a partir de 6.000 00,,current,2013,,,,,,,unknown
