id,language_comments,language_languagecode,language_read,language_speak,language_write
cv48873.xml,[resume_language],pt,true,true,true
cv51874.xml,[resume_language],pt,true,true,true
cv52261.xml,inglês,en,false,true,false
cv52261.xml,[resume_language],pt,true,true,true
cv52730.xml,italiano- nível avançado - curso [and] nível avançado - curso de italiano - escola de idioma [and] julho 2011 - curso de italiano la scuola di lingua,it,false,true,false
cv52730.xml,italiano - escola de idioma corso itália - londrina /pr,co,false,true,false
cv52730.xml,inglês- intermediário - período de,en,true,true,true
cv52730.xml,[resume_language],pt,true,true,true
cv54159.xml,[resume_language],pt,true,true,true
cv54593.xml,[resume_language],pt,true,true,true
cv49052.xml,[resume_language],pt,true,true,true
cv42739.xml,[resume_language],pt,true,true,true
cv45714.xml,[resume_language],pt,true,true,true
cv46066.xml,[resume_language],pt,true,true,true
cv52851.xml,[resume_language],pt,true,true,true
cv44100.xml,inglês avançado,en,false,true,false
cv44100.xml,espanhol básico,es,false,true,false
cv44100.xml,[resume_language],pt,true,true,true
cv46008.xml,[resume_language],pt,true,true,true
cv42397.xml,inglês - fluente.,en,true,true,true
cv42397.xml,italiano - noções.,it,false,true,false
cv42397.xml,[resume_language],pt,true,true,true
cv44634.xml,• inglês - nível pré-intermediário -,en,true,true,true
cv44634.xml,inglês - nível pré-intermediário - espanhol - nível técnico,es,false,true,false
cv44634.xml,[resume_language],pt,true,true,true
cv21862.xml,[resume_language],pt,true,true,true
cv48829.xml,[resume_language],pt,true,true,true
cv54672.xml,[resume_language],pt,true,true,true
cv51830.xml,[resume_language],pt,true,true,true
cv47841.xml,[resume_language],pt,true,true,true
cv48699.xml,• inglês avançado/fluente,en,true,true,true
cv48699.xml,• espanhol intermediário,es,true,true,true
cv48699.xml,[resume_language],pt,true,true,true
cv48669.xml,• inglês - leitura intermediária  escrita,en,true,true,true
cv48669.xml,[resume_language],pt,true,true,true
cv50227.xml,[resume_language],pt,true,true,true
cv47138.xml,[resume_language],pt,true,true,true
cv42379.xml,• inglês nível intermediário,en,true,true,true
cv42379.xml,[resume_language],pt,true,true,true
cv44844.xml,• inglês intermediário (cursando aulas particulares),en,true,true,true
cv44844.xml,[resume_language],pt,true,true,true
cv42665.xml,[resume_language],pt,true,true,true
cv38068.xml,inglês técnico -básico.,en,false,true,false
cv38068.xml,[resume_language],pt,true,true,true
cv47678.xml,[resume_language],pt,true,true,true
cv54974.xml,inglês intermediário,en,true,true,true
cv54974.xml,[resume_language],pt,true,true,true
cv44697.xml,inglês e italiano: avançados;,en,false,true,false
cv44697.xml,inglês e italiano: avançados;,it,false,true,false
cv44697.xml,[resume_language],pt,true,true,true
cv54295.xml,[resume_language],pt,true,true,true
cv55344.xml,[resume_language],pt,true,true,true
cv50459.xml,[resume_language],pt,true,true,true
cv52029.xml,[resume_language],pt,true,true,true
cv45665.xml,[resume_language],pt,true,true,true
cv50099.xml,[resume_language],pt,true,true,true
cv53590.xml,[resume_language],pt,true,true,true
cv43942.xml,inglês básico/técnico,en,false,true,false
cv43942.xml,[resume_language],pt,true,true,true
cv42154.xml,[resume_language],pt,true,true,true
cv43498.xml,inglês - avançado,en,false,true,false
cv43498.xml,alemão - intermediário,de,true,true,true
cv43498.xml,[resume_language],pt,true,true,true
cv47675.xml,• inglês instrumental avançado (leitura fluente,en,true,true,true
cv47675.xml,[resume_language],pt,true,true,true
cv34194.xml,[resume_language],pt,true,true,true
cv48794.xml,• inglês: básico,en,false,true,false
cv48794.xml,• espanhol: básico,es,false,true,false
cv48794.xml,[resume_language],pt,true,true,true
cv50205.xml,[resume_language],pt,true,true,true
cv53105.xml,conhecimento avançado em inglês  intermediário em espanhol.,en,true,true,true
cv53105.xml,avançado em inglês  intermediário em espanhol.,es,false,true,false
cv53105.xml,[resume_language],pt,true,true,true
cv54171.xml,português e inglês (intermediário),pt,true,true,true
cv54171.xml,português e inglês (intermediário),en,true,true,true
cv45459.xml,• português  nativo,pt,false,true,false
cv42559.xml,you move e fisk: inglês intermediário e espanhol básico,en,true,true,true
cv42559.xml,e fisk: inglês intermediário e espanhol básico,es,false,true,false
cv42559.xml,[resume_language],pt,true,true,true
cv56549.xml,[resume_language],pt,true,true,true
cv38699.xml,[resume_language],pt,true,true,true
cv54112.xml,• fluent english and advanced spanish,en,true,true,true
cv54112.xml,• fluent english and advanced spanish,es,true,true,true
cv44331.xml,inglês intermediário,en,true,true,true
cv44331.xml,espanhol básico,es,false,true,false
cv44331.xml,[resume_language],pt,true,true,true
cv41570.xml,inglês: compreensão  leitura e escrita,en,true,true,true
cv41570.xml,[resume_language],pt,true,true,true
cv42655.xml,seo  photoshop  inglês nível intermediário.,en,true,true,true
cv42655.xml,[resume_language],pt,true,true,true
cv56041.xml,[resume_language],pt,true,true,true
cv53065.xml,inglês - intermediário/avançado,en,true,true,true
cv53065.xml,[resume_language],pt,true,true,true
cv44112.xml,[resume_language],pt,true,true,true
cv41179.xml,inglês: proficiente - certificate in [and] proficiente - certificate in advanced english (cae)  cambridge methodology /,en,true,true,true
cv41179.xml,[resume_language],pt,true,true,true
cv54067.xml,[resume_language],pt,true,true,true
cv47115.xml,[resume_language],pt,true,true,true
cv42211.xml,[resume_language],pt,true,true,true
cv6499.xml,[resume_language],pt,true,true,true
cv52404.xml,[resume_language],pt,true,true,true
cv38615.xml,fluent english.,en,true,true,true
